FromCouponDate;ToCouponDate;NumberOfCoupons;InitialPrice;PriceAfterDiscount;NameOfBusiness;Category;Keywords;Area;ProminentInNewsletter;ExtraDeal;RequiresPhysicalVisit;MultipleStores;LatinName;PopularBrand;MaxCouponsPerPerson;MaxNumCouponsWithSameName;MinCoupons;Address;GeographicalArea;Video;BottomImage;PhoneReservation;ValidForSaturdays;ValidForSundays;ValidForEveryWeekday;ValidWithoutTimeExceptions;OnePersonCoupon;ExtraDiscounts;ComboDeal;Has Options;NumberOfVisits;DealStartDate;DealEndDate;Location;Amount;AmountPerDay;Discount;CouponDuration;WeekendDeal;Month;MonthAvg;Normalized;ID;RoundedDiscount;RoundedPrice;RoundedCouponDuration;HasFewerCouponsOnSameNameThanCanBuy;URL;DaysForActivation;QuantizedDealsForActivation
26/5/10 0:00;28/5/10 23:59;2191;19,50;1;Pizza Hut;Tasting;Non-Greek;;Yes;No;Yes;Yes;Yes;Yes;1;1;100;;1,2,3,4,5,6,12,13;No;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;Single;31/5/2010;31/8/2010;Athens;2191;730,50;0,95;93;No;5;595;1,227735178;5_26_Pizza Hut_Athens_No;1,00;0;2;No;http://www.goldendeals.gr/deals/1euro-pizza-from-PizzaHut;2;2
29/5/10 0:00;31/5/10 23:59;46;60;30;Pastis;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;10;Μαρούσι;2;No;No;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Single;2/6/2010;31/8/2010;Athens;1380;460,11;0,50;91;Yes;5;595;0,773288246;5_29_Pastis_Athens_No;0,60;30;2;No;http://www.goldendeals.gr/deals/30euro-menu-at-pastis;1;1
1/6/10 0:00;2/6/10 23:59;83;130;5;BodyLine;Gym / Exercise / Fit;;;Yes;No;Yes;No;Yes;Yes;1;1;30;Σύνταγμα;1;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Multiple;4/6/2010;31/12/2010;Athens;415;207,57;0,96;211;No;6;4695;0,044211304;6_1_BodyLine_Athens_No;1,00;5;4;No;NULL;1;1
3/6/10 0:00;4/6/10 23:59;220;25;15;Allou Fun Park;Family Activities / Kid;;;Yes;No;Yes;No;Yes;No;4;4;30;Αγ. Ιωάννης Ρέντης ;5;Yes;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Single;7/6/2010;31/7/2010;Athens;3300;1650,57;0,40;55;No;6;4695;0,351559769;6_3_Allou Fun Park_Athens_No;0,40;15;1;No;http://www.goldendeals.gr/deals/15euros-allou-pass;2;2
5/6/10 0:00;7/6/10 23:59;122;40;20;Iskandar;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;10;Λ. Ελευθερίας 6 (Αμφιθέας) & Λ. Ποσειδώνος;3;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Single;9/6/2010;31/8/2010;Athens;2440;813,52;0,50;84;Yes;6;477;1,705496119;6_5_Iskandar_Athens_No;0,60;20;2;No;http://www.goldendeals.gr/deals/20euros-iskandar;1;1
8/6/10 0:00;8/6/10 23:59;32;25;15;Crowne Plaza;Leisure;;;Yes;No;Yes;No;Yes;Yes;100;100;10;Ιλίσια;1;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Single;10/6/2010;30/9/2010;Athens;480;480,00;0,40;113;No;6;4695;0,102236422;6_8_Crowne Plaza_Athens_No;0,40;15;3;No;http://www.goldendeals.gr/deals/15euros-crowne-plaza;1;1
9/6/10 0:00;9/6/10 23:59;56;65;19,5;ikonomakis;Beauty;Hair Salon;;Yes;No;Yes;No;No;No;4;4;30; Χαλάνδρι;2;No;No;Yes;No;No;No;Yes;Yes;No;Yes;No;Single;15/6/2010;31/12/2010;Athens;1092;1092,00;0,70;200;No;6;4695;0,232587859;6_9_ikonomakis_Athens_No;0,80;20;4;No;http://www.goldendeals.gr/deals/19.50euros-ikonomakis-vip;5;5
10/6/10 0:00;10/6/10 23:59;710;30;15;Αττικό Πάρκο;Family Activities / Kid;;;Yes;No;Yes;No;No;No;2;2;20;Σπάτα;6;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Single;14/6/2010;30/9/2010;Athens;10650;10650,00;0,50;109;No;6;4695;2,268370607;6_10_Αττικό Πάρκο_Athens_No;0,60;15;2;No;http://www.goldendeals.gr/deals/15euros-attica-zoo;3;3
11/6/10 0:00;11/6/10 23:59;48;25;15;Mad Video Music Awards;Leisure;live performance;;Yes;No;Yes;No;Yes;Yes;2;2;20;Παλαιού Φαλήρου;3;Yes;No;No;No;No;No;No;Yes;No;No;No;Single;14/6/2010;14/6/2010;Athens;720;720,00;0,40;1;No;6;4695;0,153354633;6_11_Mad Video Music Awards_Athens_No;0,40;15;1;No;http://www.goldendeals.gr/deals/15euros-mad-vma;2;2
12/6/10 0:00;14/6/10 23:59;89;20;12;Sniper Club;Outdoor Activities;;;Yes;No;Yes;No;Yes;No;10;10;10;Παλλήνη;6;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Single;16/6/2010;31/12/2010;Athens;1068;356,08;0,40;199;Yes;6;477;0,746504039;6_12_Sniper Club_Athens_No;0,40;10;4;No;http://www.goldendeals.gr/deals/12euros-paintball-sniper-club;1;1
15/6/10 0:00;15/6/10 23:59;259;33;15;Περαν;Tasting;Greek;;Yes;No;Yes;No;No;No;2;4;10; Νέα Χαλκηδόνα;4;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Single;17/6/2010;31/8/2010;Athens;3885;3885,00;0,55;76;No;6;4695;0,827476038;6_15_Περαν_Athens_No;0,60;15;1;No;http://www.goldendeals.gr/deals/15euros-peran;1;1
