@RELATION RevenuePerDay

@ATTRIBUTE PriceAfterDiscount NUMERIC
@ATTRIBUTE Category0 NUMERIC
@ATTRIBUTE Category1 NUMERIC
@ATTRIBUTE Category2 NUMERIC
@ATTRIBUTE Category3 NUMERIC
@ATTRIBUTE Category4 NUMERIC
@ATTRIBUTE Category5 NUMERIC
@ATTRIBUTE Category6 NUMERIC
@ATTRIBUTE Category7 NUMERIC
@ATTRIBUTE RequiresPhysicalVisit NUMERIC
@ATTRIBUTE MultipleStores NUMERIC
@ATTRIBUTE LatinName NUMERIC
@ATTRIBUTE PopularBrand NUMERIC
@ATTRIBUTE Video NUMERIC
@ATTRIBUTE BottomImage NUMERIC
@ATTRIBUTE PhoneReservation NUMERIC
@ATTRIBUTE ValidForSaturdays NUMERIC
@ATTRIBUTE ValidForSundays NUMERIC
@ATTRIBUTE ValidForEveryWeekday NUMERIC
@ATTRIBUTE ValidWithoutTimeExceptions NUMERIC
@ATTRIBUTE OnePersonCoupon NUMERIC
@ATTRIBUTE ExtraDiscounts NUMERIC
@ATTRIBUTE ComboDeal NUMERIC
@ATTRIBUTE Has Options NUMERIC
@ATTRIBUTE NumberOfVisits0 NUMERIC
@ATTRIBUTE NumberOfVisits1 NUMERIC
@ATTRIBUTE NumberOfVisits2 NUMERIC
@ATTRIBUTE Location0 NUMERIC
@ATTRIBUTE Location1 NUMERIC
@ATTRIBUTE Discount NUMERIC
@ATTRIBUTE WeekendDeal NUMERIC
@ATTRIBUTE RoundedCouponDuration0 NUMERIC
@ATTRIBUTE RoundedCouponDuration1 NUMERIC
@ATTRIBUTE RoundedCouponDuration2 NUMERIC
@ATTRIBUTE RoundedCouponDuration3 NUMERIC
@ATTRIBUTE HasFewerCouponsOnSameNameThanCanBuy NUMERIC
@ATTRIBUTE MonthAvg NUMERIC
@ATTRIBUTE Normalized NUMERIC

@DATA
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,595.0,1.2277352
30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,595.0,0.77328825
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,0.044211306
15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,4695.0,0.35155976
20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,477.0,1.7054961
15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,4695.0,0.10223642
19.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,0.23258786
15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,4695.0,2.2683706
15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,4695.0,0.15335463
12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0,477.0,0.74650407
15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.55,0.0,1.0,0.0,0.0,0.0,0.0,4695.0,0.827476
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,0.16613418
18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,1.1271565
17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,4695.0,0.27582535
117.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.48,1.0,0.0,0.0,1.0,0.0,0.0,477.0,1.5538188
15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,4695.0,0.30670926
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.77,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,1.2351438
10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,6.3919063
5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.91,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,1.2076677
52.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,477.0,0.0
20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4695.0,0.9116081
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,4695.0,0.39829606
8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,12428.0,0.08561313
11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.71,0.0,1.0,0.0,0.0,0.0,0.0,12428.0,0.5996138
